"","name","lat","lon","time","Rab.Obv","geometry","RabID","MST.time","Hour","DayOfYr","Date"
"165","Jaib40",43.22013798,-116.019231,"2022-08-12T07:41:06Z","Jackrab",c(-116.019231, 43.22013798),165,2022-08-12 01:41:06,1,224,2022-08-12
"166","Jaib41",43.36102,-116.234431,"2022-08-04T07:32:02Z","Jackrab",c(-116.234431, 43.36102),166,2022-08-04 01:32:02,1,216,2022-08-04
"167","Jaib42",43.21455698,-115.991739,"2022-08-05T07:02:35Z","Jackrab",c(-115.991739, 43.21455698),167,2022-08-05 01:02:35,1,217,2022-08-05
"168","Jaib43",43.36008601,-116.23443,"2022-08-08T07:00:11Z","Jackrab",c(-116.23443, 43.36008601),168,2022-08-08 01:00:11,1,220,2022-08-08
"169","Jaib44",43.21455999,-115.989855,"2022-08-11T07:21:19Z","Jackrab",c(-115.989855, 43.21455999),169,2022-08-11 01:21:19,1,223,2022-08-11
"170","Jaib5",43.33056402,-116.223725,"2022-08-04T07:36:25Z","Jackrab",c(-116.223725, 43.33056402),170,2022-08-04 01:36:25,1,216,2022-08-04
"171","Jaib51",43.21451498,-115.992873,"2022-08-05T07:02:47Z","Jackrab",c(-115.992873, 43.21451498),171,2022-08-05 01:02:47,1,217,2022-08-05
"172","Jaib52",43.36008601,-116.23443,"2022-08-08T07:00:22Z","Jackrab",c(-116.23443, 43.36008601),172,2022-08-08 01:00:22,1,220,2022-08-08
"173","Jaib53",43.21345299,-115.995017,"2022-08-11T07:22:03Z","Jackrab",c(-115.995017, 43.21345299),173,2022-08-11 01:22:03,1,223,2022-08-11
"174","Jaib6",43.32967001,-116.222742,"2022-08-04T07:36:36Z","Jackrab",c(-116.222742, 43.32967001),174,2022-08-04 01:36:36,1,216,2022-08-04
"175","Jaib61",43.214144,-115.993934,"2022-08-05T07:03:00Z","Jackrab",c(-115.993934, 43.214144),175,2022-08-05 01:03:00,1,217,2022-08-05
"176","Jaib62",43.36008601,-116.23443,"2022-08-08T07:01:08Z","Jackrab",c(-116.23443, 43.36008601),176,2022-08-08 01:01:08,1,220,2022-08-08
"177","Jaib63",43.21038798,-115.999782,"2022-08-11T07:22:49Z","Jackrab",c(-115.999782, 43.21038798),177,2022-08-11 01:22:49,1,223,2022-08-11
"178","Jaib7",43.32885403,-116.221708,"2022-08-04T07:36:46Z","Jackrab",c(-116.221708, 43.32885403),178,2022-08-04 01:36:46,1,216,2022-08-04
"179","Jaib71",43.213827,-115.994411,"2022-08-05T07:03:08Z","Jackrab",c(-115.994411, 43.213827),179,2022-08-05 01:03:08,1,217,2022-08-05
"180","Jaib72",43.36008601,-116.23443,"2022-08-08T07:01:47Z","Jackrab",c(-116.23443, 43.36008601),180,2022-08-08 01:01:47,1,220,2022-08-08
"181","Jaib8",43.32240298,-116.216981,"2022-08-04T07:37:52Z","Jackrab",c(-116.216981, 43.32240298),181,2022-08-04 01:37:52,1,216,2022-08-04
"182","Jaib81",43.20616401,-116.011655,"2022-08-05T07:05:39Z","Jackrab",c(-116.011655, 43.20616401),182,2022-08-05 01:05:39,1,217,2022-08-05
"183","Jaib82",43.36008601,-116.23443,"2022-08-08T07:05:06Z","Jackrab",c(-116.23443, 43.36008601),183,2022-08-08 01:05:06,1,220,2022-08-08
"184","Jaib9",43.320249,-116.215913,"2022-08-04T07:38:14Z","Jackrab",c(-116.215913, 43.320249),184,2022-08-04 01:38:14,1,216,2022-08-04
"185","Jaib91",43.26066004,-116.045294,"2022-08-05T07:17:35Z","Jackrab",c(-116.045294, 43.26066004),185,2022-08-05 01:17:35,1,217,2022-08-05
"186","Jaib92",43.36008601,-116.23443,"2022-08-08T07:05:15Z","Jackrab",c(-116.23443, 43.36008601),186,2022-08-08 01:05:15,1,220,2022-08-08
"187","Jaie",43.33702002,-116.217925,"2022-08-03T09:52:06Z","Jackrab",c(-116.217925, 43.33702002),187,2022-08-03 03:52:06,3,215,2022-08-03
"188","Jaie1",43.33942504,-116.226006,"2022-08-03T09:53:23Z","Jackrab",c(-116.226006, 43.33942504),188,2022-08-03 03:53:23,3,215,2022-08-03
"189","Jaie10",43.25778203,-116.041837,"2022-08-09T09:50:00Z","Jackrab",c(-116.041837, 43.25778203),189,2022-08-09 03:50:00,3,221,2022-08-09
"190","Jaie11",43.21478798,-115.981101,"2022-08-04T10:38:22Z","Jackrab",c(-115.981101, 43.21478798),190,2022-08-04 04:38:22,4,216,2022-08-04
"191","Jaie111",43.21122802,-115.998375,"2022-08-09T10:02:21Z","Jackrab",c(-115.998375, 43.21122802),191,2022-08-09 04:02:21,4,221,2022-08-09
"192","Jaie12",43.21150303,-115.997951,"2022-08-09T10:02:30Z","Jackrab",c(-115.997951, 43.21150303),192,2022-08-09 04:02:30,4,221,2022-08-09
"193","Jaie13",43.21455698,-115.990223,"2022-08-09T10:03:38Z","Jackrab",c(-115.990223, 43.21455698),193,2022-08-09 04:03:38,4,221,2022-08-09
"194","Jaie14",43.21490902,-115.971254,"2022-08-09T10:05:55Z","Jackrab",c(-115.971254, 43.21490902),194,2022-08-09 04:05:55,4,221,2022-08-09
"195","Jaie15",43.21491597,-115.97003,"2022-08-09T10:06:04Z","Jackrab",c(-115.97003, 43.21491597),195,2022-08-09 04:06:04,4,221,2022-08-09
"196","Jaie16",43.28455299,-116.230572,"2022-08-09T09:32:22Z","Jackrab",c(-116.230572, 43.28455299),196,2022-08-09 03:32:22,3,221,2022-08-09
"197","Jaie17",43.27951496,-116.132388,"2022-08-09T09:36:56Z","Jackrab",c(-116.132388, 43.27951496),197,2022-08-09 03:36:56,3,221,2022-08-09
"198","Jaie18",43.21502401,-116.252984,"2022-08-11T09:50:53Z","Jackrab",c(-116.252984, 43.21502401),198,2022-08-11 03:50:53,3,223,2022-08-11
"199","Jaie19",43.22192702,-116.247551,"2022-08-11T09:52:14Z","Jackrab",c(-116.247551, 43.22192702),199,2022-08-11 03:52:14,3,223,2022-08-11
"200","Jaie2",43.35250097,-116.234414,"2022-08-03T09:55:57Z","Jackrab",c(-116.234414, 43.35250097),200,2022-08-03 03:55:57,3,215,2022-08-03
"201","Jaie21",43.21485797,-115.978128,"2022-08-04T10:38:42Z","Jackrab",c(-115.978128, 43.21485797),201,2022-08-04 04:38:42,4,216,2022-08-04
"202","Jaie22",43.27970498,-116.130718,"2022-08-09T09:37:07Z","Jackrab",c(-116.130718, 43.27970498),202,2022-08-09 03:37:07,3,221,2022-08-09
"203","Jaie23",43.30872699,-116.213718,"2022-08-11T10:12:48Z","Jackrab",c(-116.213718, 43.30872699),203,2022-08-11 04:12:48,4,223,2022-08-11
"204","Jaie3",43.35380302,-116.234421,"2022-08-03T09:56:11Z","Jackrab",c(-116.234421, 43.35380302),204,2022-08-03 03:56:11,3,215,2022-08-03
"205","Jaie31",43.27962502,-116.086499,"2022-08-09T09:42:46Z","Jackrab",c(-116.086499, 43.27962502),205,2022-08-09 03:42:46,3,221,2022-08-09
"206","Jaie32",43.35686702,-116.234349,"2022-08-11T10:19:43Z","Jackrab",c(-116.234349, 43.35686702),206,2022-08-11 04:19:43,4,223,2022-08-11
"207","Jaie4",43.35767504,-116.234358,"2022-08-03T09:57:00Z","Jackrab",c(-116.234358, 43.35767504),207,2022-08-03 03:57:00,3,215,2022-08-03
"208","Jaie41",43.27886101,-116.084727,"2022-08-09T09:42:58Z","Jackrab",c(-116.084727, 43.27886101),208,2022-08-09 03:42:58,3,221,2022-08-09
"209","Jaie42",43.36019003,-116.234383,"2022-08-11T10:20:19Z","Jackrab",c(-116.234383, 43.36019003),209,2022-08-11 04:20:19,4,223,2022-08-11
"210","Jaie5",43.36069898,-116.23442,"2022-08-03T09:57:33Z","Jackrab",c(-116.23442, 43.36069898),210,2022-08-03 03:57:33,3,215,2022-08-03
"211","Jaie51",43.27745,-116.081799,"2022-08-09T09:43:24Z","Jackrab",c(-116.081799, 43.27745),211,2022-08-09 03:43:24,3,221,2022-08-09
"212","Jaie52",43.38075796,-116.234428,"2022-08-11T10:23:44Z","Jackrab",c(-116.234428, 43.38075796),212,2022-08-11 04:23:44,4,223,2022-08-11
"213","Jaie6",43.382908,-116.234461,"2022-08-03T10:00:53Z","Jackrab",c(-116.234461, 43.382908),213,2022-08-03 04:00:53,4,215,2022-08-03
"214","Jaie61",43.27668699,-116.080805,"2022-08-09T09:43:45Z","Jackrab",c(-116.080805, 43.27668699),214,2022-08-09 03:43:45,3,221,2022-08-09
"215","Jaie62",43.40243499,-116.234326,"2022-08-11T10:26:34Z","Jackrab",c(-116.234326, 43.40243499),215,2022-08-11 04:26:34,4,223,2022-08-11
"216","Jaie7",43.21474699,-115.982476,"2022-08-04T10:38:12Z","Jackrab",c(-115.982476, 43.21474699),216,2022-08-04 04:38:12,4,216,2022-08-04
"217","Jaie71",43.27432799,-116.064382,"2022-08-09T09:46:14Z","Jackrab",c(-116.064382, 43.27432799),217,2022-08-09 03:46:14,3,221,2022-08-09
"218","Jaie8",43.28381103,-116.090099,"2022-08-05T09:43:41Z","Jackrab",c(-116.090099, 43.28381103),218,2022-08-05 03:43:41,3,217,2022-08-05
"219","Jaie81",43.26326103,-116.046586,"2022-08-09T09:49:10Z","Jackrab",c(-116.046586, 43.26326103),219,2022-08-09 03:49:10,3,221,2022-08-09
"220","Jaie9",43.35447298,-116.23443,"2022-08-08T10:05:38Z","Jackrab",c(-116.23443, 43.35447298),220,2022-08-08 04:05:38,4,220,2022-08-08
"221","Jaie91",43.26114401,-116.045563,"2022-08-09T09:49:27Z","Jackrab",c(-116.045563, 43.26114401),221,2022-08-09 03:49:27,3,221,2022-08-09
"222","Jj",43.31282297,-116.265214,"2022-08-03T08:22:14Z","Jackrab",c(-116.265214, 43.31282297),222,2022-08-03 02:22:14,2,215,2022-08-03
"223","Jj1",43.28458501,-116.193515,"2022-08-04T08:46:12Z","Jackrab",c(-116.193515, 43.28458501),223,2022-08-04 02:46:12,2,216,2022-08-04
"224","Jj2",43.35447298,-116.23443,"2022-08-08T08:21:47Z","Jackrab",c(-116.23443, 43.35447298),224,2022-08-08 02:21:47,2,220,2022-08-08
"225","Jji",43.17867396,-116.16557,"2022-08-03T06:23:25Z","Jackrab",c(-116.16557, 43.17867396),225,2022-08-03 00:23:25,0,215,2022-08-03
"226","Jji1",43.17883599,-116.16611,"2022-08-03T06:23:35Z","Jackrab",c(-116.16611, 43.17883599),226,2022-08-03 00:23:35,0,215,2022-08-03
"227","Jji2",43.176652,-116.185423,"2022-08-03T06:28:18Z","Jackrab",c(-116.185423, 43.176652),227,2022-08-03 00:28:18,0,215,2022-08-03
"228","Jji3",43.17236197,-116.193336,"2022-08-03T06:30:32Z","Jackrab",c(-116.193336, 43.17236197),228,2022-08-03 00:30:32,0,215,2022-08-03
"229","Jji4",43.17072499,-116.194768,"2022-08-03T06:31:17Z","Jackrab",c(-116.194768, 43.17072499),229,2022-08-03 00:31:17,0,215,2022-08-03
"230","Jji5",43.22127599,-116.248415,"2022-08-03T07:29:29Z","Jackrab",c(-116.248415, 43.22127599),230,2022-08-03 01:29:29,1,215,2022-08-03
"231","Jji6",43.22840799,-116.221679,"2022-08-03T07:36:57Z","Jackrab",c(-116.221679, 43.22840799),231,2022-08-03 01:36:57,1,215,2022-08-03
"232","Jji7",43.29539599,-116.207818,"2022-08-03T07:54:35Z","Jackrab",c(-116.207818, 43.29539599),232,2022-08-03 01:54:35,1,215,2022-08-03
"233","Jji8",43.370611,-116.234432,"2022-08-09T08:32:52Z","Jackrab",c(-116.234432, 43.370611),233,2022-08-09 02:32:52,2,221,2022-08-09
"234","Jjib",43.21460098,-115.986055,"2022-08-03T04:50:38Z","Jackrab",c(-115.986055, 43.21460098),234,2022-08-02 22:50:38,22,214,2022-08-02
"235","Jjib1",43.21455899,-115.98868,"2022-08-03T04:51:35Z","Jackrab",c(-115.98868, 43.21455899),235,2022-08-02 22:51:35,22,214,2022-08-02
"236","Jjib10",43.371547,-116.234432,"2022-08-09T07:23:08Z","Jackrab",c(-116.234432, 43.371547),236,2022-08-09 01:23:08,1,221,2022-08-09
"237","Jjib11",43.37075198,-116.234437,"2022-08-04T07:30:20Z","Jackrab",c(-116.234437, 43.37075198),237,2022-08-04 01:30:20,1,216,2022-08-04
"238","Jjib12",43.26944998,-116.050802,"2022-08-05T07:19:11Z","Jackrab",c(-116.050802, 43.26944998),238,2022-08-05 01:19:11,1,217,2022-08-05
"239","Jjib13",43.38266199,-116.234495,"2022-08-08T06:56:40Z","Jackrab",c(-116.234495, 43.38266199),239,2022-08-08 00:56:40,0,220,2022-08-08
"240","Jjib2",43.21453602,-115.991432,"2022-08-03T04:52:29Z","Jackrab",c(-115.991432, 43.21453602),240,2022-08-02 22:52:29,22,214,2022-08-02
"241","Jjib21",43.370237,-116.234426,"2022-08-04T07:30:31Z","Jackrab",c(-116.234426, 43.370237),241,2022-08-04 01:30:31,1,216,2022-08-04
"242","Jjib22",43.36008601,-116.23443,"2022-08-08T07:00:34Z","Jackrab",c(-116.23443, 43.36008601),242,2022-08-08 01:00:34,1,220,2022-08-08
"243","Jjib3",43.21270399,-115.996122,"2022-08-03T04:53:43Z","Jackrab",c(-115.996122, 43.21270399),243,2022-08-02 22:53:43,22,214,2022-08-02
"244","Jjib31",43.36949503,-116.234426,"2022-08-04T07:30:43Z","Jackrab",c(-116.234426, 43.36949503),244,2022-08-04 01:30:43,1,216,2022-08-04
"245","Jjib32",43.36008601,-116.23443,"2022-08-08T07:02:36Z","Jackrab",c(-116.23443, 43.36008601),245,2022-08-08 01:02:36,1,220,2022-08-08
"246","Jjib4",43.34836903,-116.234451,"2022-08-04T07:33:46Z","Jackrab",c(-116.234451, 43.34836903),246,2022-08-04 01:33:46,1,216,2022-08-04
"247","Jjib41",43.36008601,-116.23443,"2022-08-08T07:22:04Z","Jackrab",c(-116.23443, 43.36008601),247,2022-08-08 01:22:04,1,220,2022-08-08
"248","Jjib5",43.31986796,-116.215728,"2022-08-04T07:38:26Z","Jackrab",c(-116.215728, 43.31986796),248,2022-08-04 01:38:26,1,216,2022-08-04
"249","Jjib51",43.35447298,-116.23443,"2022-08-08T07:31:59Z","Jackrab",c(-116.23443, 43.35447298),249,2022-08-08 01:31:59,1,220,2022-08-08
"250","Jjib6",43.28574498,-116.193515,"2022-08-04T07:52:29Z","Jackrab",c(-116.193515, 43.28574498),250,2022-08-04 01:52:29,1,216,2022-08-04
"251","Jjib61",43.35447298,-116.23443,"2022-08-08T07:32:18Z","Jackrab",c(-116.23443, 43.35447298),251,2022-08-08 01:32:18,1,220,2022-08-08
"252","Jjib7",43.38343497,-116.234489,"2022-08-04T07:28:12Z","Jackrab",c(-116.234489, 43.38343497),252,2022-08-04 01:28:12,1,216,2022-08-04
"253","Jjib71",43.35447298,-116.23443,"2022-08-08T07:33:36Z","Jackrab",c(-116.23443, 43.35447298),253,2022-08-08 01:33:36,1,220,2022-08-08
"254","Jjib8",43.21491899,-115.972204,"2022-08-05T06:59:17Z","Jackrab",c(-115.972204, 43.21491899),254,2022-08-05 00:59:17,0,217,2022-08-05
"255","Jjib9",43.384015,-116.234499,"2022-08-08T06:56:28Z","Jackrab",c(-116.234499, 43.384015),255,2022-08-08 00:56:28,0,220,2022-08-08
"256","Jjie",43.33700602,-116.217043,"2022-08-03T09:51:52Z","Jackrab",c(-116.217043, 43.33700602),256,2022-08-03 03:51:52,3,215,2022-08-03
"257","Jjie1",43.36600103,-116.234407,"2022-08-03T09:58:24Z","Jackrab",c(-116.234407, 43.36600103),257,2022-08-03 03:58:24,3,215,2022-08-03
"258","Jjie10",43.21491002,-115.971971,"2022-08-09T10:05:48Z","Jackrab",c(-115.971971, 43.21491002),258,2022-08-09 04:05:48,4,221,2022-08-09
"259","Jjie11",43.33787204,-116.234432,"2022-08-09T09:28:37Z","Jackrab",c(-116.234432, 43.33787204),259,2022-08-09 03:28:37,3,221,2022-08-09
"260","Jjie12",43.29577804,-116.224138,"2022-08-09T09:31:31Z","Jackrab",c(-116.224138, 43.29577804),260,2022-08-09 03:31:31,3,221,2022-08-09
"261","Jjie13",43.22434,-116.207476,"2022-08-11T09:57:51Z","Jackrab",c(-116.207476, 43.22434),261,2022-08-11 03:57:51,3,223,2022-08-11
"262","Jjie14",43.30032002,-116.21206,"2022-08-11T10:11:46Z","Jackrab",c(-116.21206, 43.30032002),262,2022-08-11 04:11:46,4,223,2022-08-11
"263","Jjie2",43.28381103,-116.090099,"2022-08-05T09:42:43Z","Jackrab",c(-116.090099, 43.28381103),263,2022-08-05 03:42:43,3,217,2022-08-05
"264","Jjie21",43.27990003,-116.12908,"2022-08-09T09:37:19Z","Jackrab",c(-116.12908, 43.27990003),264,2022-08-09 03:37:19,3,221,2022-08-09
"265","Jjie3",43.35447298,-116.23443,"2022-08-08T10:07:54Z","Jackrab",c(-116.23443, 43.35447298),265,2022-08-08 04:07:54,4,220,2022-08-08
"266","Jjie31",43.28009801,-116.127469,"2022-08-09T09:37:30Z","Jackrab",c(-116.127469, 43.28009801),266,2022-08-09 03:37:30,3,221,2022-08-09
"267","Jjie4",43.28019801,-116.126624,"2022-08-09T09:37:40Z","Jackrab",c(-116.126624, 43.28019801),267,2022-08-09 03:37:40,3,221,2022-08-09
"268","Jjie5",43.28101901,-116.119271,"2022-08-09T09:39:10Z","Jackrab",c(-116.119271, 43.28101901),268,2022-08-09 03:39:10,3,221,2022-08-09
"269","Jjie6",43.25707301,-116.040689,"2022-08-09T09:50:09Z","Jackrab",c(-116.040689, 43.25707301),269,2022-08-09 03:50:09,3,221,2022-08-09
"270","Jjie7",43.21374603,-115.994461,"2022-08-09T10:03:03Z","Jackrab",c(-115.994461, 43.21374603),270,2022-08-09 04:03:03,4,221,2022-08-09
"271","Jjie8",43.21478999,-115.980493,"2022-08-09T10:04:46Z","Jackrab",c(-115.980493, 43.21478999),271,2022-08-09 04:04:46,4,221,2022-08-09
"272","Jjie9",43.21486501,-115.972666,"2022-08-09T10:05:40Z","Jackrab",c(-115.972666, 43.21486501),272,2022-08-09 04:05:40,4,221,2022-08-09
"273","Junk",43.17142999,-115.972874,"2022-08-03T05:39:49Z","Jackrab",c(-115.972874, 43.17142999),273,2022-08-02 23:39:49,23,214,2022-08-02
"274","Junk1",43.16465104,-115.982935,"2022-08-03T05:45:41Z","Jackrab",c(-115.982935, 43.16465104),274,2022-08-02 23:45:41,23,214,2022-08-02
"275","Junk10",43.35447298,-116.23443,"2022-08-08T08:11:01Z","Jackrab",c(-116.23443, 43.35447298),275,2022-08-08 02:11:01,2,220,2022-08-08
"276","Junk11",43.20660498,-116.274241,"2022-08-03T07:14:26Z","Jackrab",c(-116.274241, 43.20660498),276,2022-08-03 01:14:26,1,215,2022-08-03
"277","Junk12",43.28458501,-116.193515,"2022-08-04T08:39:47Z","Jackrab",c(-116.193515, 43.28458501),277,2022-08-04 02:39:47,2,216,2022-08-04
"278","Junk13",43.370611,-116.234432,"2022-08-09T08:12:08Z","Jackrab",c(-116.234432, 43.370611),278,2022-08-09 02:12:08,2,221,2022-08-09
"279","Junk14",43.16074197,-116.210605,"2022-08-11T09:02:26Z","Jackrab",c(-116.210605, 43.16074197),279,2022-08-11 03:02:26,3,223,2022-08-11
"280","Junk15",43.16916503,-116.232585,"2022-08-11T09:09:49Z","Jackrab",c(-116.232585, 43.16916503),280,2022-08-11 03:09:49,3,223,2022-08-11
"281","Junk16",43.34571398,-116.146148,"2022-08-12T09:35:11Z","Jackrab",c(-116.146148, 43.34571398),281,2022-08-12 03:35:11,3,224,2022-08-12
"282","Junk2",43.32527999,-116.131326,"2022-08-03T09:15:28Z","Jackrab",c(-116.131326, 43.32527999),282,2022-08-03 03:15:28,3,215,2022-08-03
"283","Junk21",43.28458501,-116.193515,"2022-08-04T08:40:08Z","Jackrab",c(-116.193515, 43.28458501),283,2022-08-04 02:40:08,2,216,2022-08-04
"284","Junk22",43.18120002,-116.261856,"2022-08-11T09:19:38Z","Jackrab",c(-116.261856, 43.18120002),284,2022-08-11 03:19:38,3,223,2022-08-11
"285","Junk3",43.34541902,-116.146776,"2022-08-03T09:32:43Z","Jackrab",c(-116.146776, 43.34541902),285,2022-08-03 03:32:43,3,215,2022-08-03
"286","Junk31",43.28458501,-116.193515,"2022-08-04T08:45:12Z","Jackrab",c(-116.193515, 43.28458501),286,2022-08-04 02:45:12,2,216,2022-08-04
"287","Junk4",43.17697403,-116.253214,"2022-08-03T06:55:52Z","Jackrab",c(-116.253214, 43.17697403),287,2022-08-03 00:55:52,0,215,2022-08-03
"288","Junk41",43.28458501,-116.193515,"2022-08-04T08:50:44Z","Jackrab",c(-116.193515, 43.28458501),288,2022-08-04 02:50:44,2,216,2022-08-04
"289","Junk5",43.28458501,-116.193515,"2022-08-04T08:51:08Z","Jackrab",c(-116.193515, 43.28458501),289,2022-08-04 02:51:08,2,216,2022-08-04
"290","Junk6",43.20366201,-115.991666,"2022-08-04T10:18:06Z","Jackrab",c(-115.991666, 43.20366201),290,2022-08-04 04:18:06,4,216,2022-08-04
"291","Junk7",43.20325297,-115.992159,"2022-08-04T10:18:24Z","Jackrab",c(-115.992159, 43.20325297),291,2022-08-04 04:18:24,4,216,2022-08-04
"292","Junk8",43.28552102,-116.193515,"2022-08-04T08:29:21Z","Jackrab",c(-116.193515, 43.28552102),292,2022-08-04 02:29:21,2,216,2022-08-04
"293","Junk9",43.28381103,-116.090099,"2022-08-05T08:55:46Z","Jackrab",c(-116.090099, 43.28381103),293,2022-08-05 02:55:46,2,217,2022-08-05
"294","Junki",43.336988,-116.217208,"2022-08-02T04:03:33Z","Jackrab",c(-116.217208, 43.336988),294,2022-08-01 22:03:33,22,213,2022-08-01
"295","Junki1",43.16083602,-116.003756,"2022-08-03T05:59:47Z","Jackrab",c(-116.003756, 43.16083602),295,2022-08-02 23:59:47,23,214,2022-08-02
"296","Junki10",43.29177802,-116.199359,"2022-08-03T07:53:18Z","Jackrab",c(-116.199359, 43.29177802),296,2022-08-03 01:53:18,1,215,2022-08-03
"297","Junki101",43.18224499,-116.001274,"2022-08-04T09:37:26Z","Jackrab",c(-116.001274, 43.18224499),297,2022-08-04 03:37:26,3,216,2022-08-04
"298","Junki11",43.29477204,-116.20642,"2022-08-03T07:54:20Z","Jackrab",c(-116.20642, 43.29477204),298,2022-08-03 01:54:20,1,215,2022-08-03
"299","Junki110",43.28381103,-116.090099,"2022-08-05T08:45:16Z","Jackrab",c(-116.090099, 43.28381103),299,2022-08-05 02:45:16,2,217,2022-08-05
"300","Junki111",43.18086701,-115.997992,"2022-08-04T09:37:52Z","Jackrab",c(-115.997992, 43.18086701),300,2022-08-04 03:37:52,3,216,2022-08-04
"301","Junki112",43.17391899,-116.191425,"2022-08-11T08:54:39Z","Jackrab",c(-116.191425, 43.17391899),301,2022-08-11 02:54:39,2,223,2022-08-11
"302","Junki12",43.29803302,-116.212397,"2022-08-03T07:56:55Z","Jackrab",c(-116.212397, 43.29803302),302,2022-08-03 01:56:55,1,215,2022-08-03
"303","Junki13",43.33701499,-116.217726,"2022-08-03T08:52:40Z","Jackrab",c(-116.217726, 43.33701499),303,2022-08-03 02:52:40,2,215,2022-08-03
"304","Junki14",43.33692203,-116.215677,"2022-08-03T08:52:58Z","Jackrab",c(-116.215677, 43.33692203),304,2022-08-03 02:52:58,2,215,2022-08-03
"305","Junki15",43.31347701,-116.147995,"2022-08-03T09:00:54Z","Jackrab",c(-116.147995, 43.31347701),305,2022-08-03 03:00:54,3,215,2022-08-03
"306","Junki16",43.16609197,-116.164091,"2022-08-03T06:21:25Z","Jackrab",c(-116.164091, 43.16609197),306,2022-08-03 00:21:25,0,215,2022-08-03
"307","Junki17",43.17977702,-116.183484,"2022-08-03T06:27:07Z","Jackrab",c(-116.183484, 43.17977702),307,2022-08-03 00:27:07,0,215,2022-08-03
"308","Junki18",43.28458501,-116.193515,"2022-08-04T08:52:45Z","Jackrab",c(-116.193515, 43.28458501),308,2022-08-04 02:52:45,2,216,2022-08-04
"309","Junki19",43.17952397,-116.183463,"2022-08-04T09:05:03Z","Jackrab",c(-116.183463, 43.17952397),309,2022-08-04 03:05:03,3,216,2022-08-04
"310","Junki2",43.16782401,-116.007925,"2022-08-03T05:58:16Z","Jackrab",c(-116.007925, 43.16782401),310,2022-08-02 23:58:16,23,214,2022-08-02
"311","Junki20",43.28325002,-116.090099,"2022-08-05T08:27:35Z","Jackrab",c(-116.090099, 43.28325002),311,2022-08-05 02:27:35,2,217,2022-08-05
"312","Junki21",43.17441897,-116.189998,"2022-08-03T06:29:45Z","Jackrab",c(-116.189998, 43.17441897),312,2022-08-03 00:29:45,0,215,2022-08-03
"313","Junki22",43.18118996,-116.183439,"2022-08-04T09:05:21Z","Jackrab",c(-116.183439, 43.18118996),313,2022-08-04 03:05:21,3,216,2022-08-04
"314","Junki23",43.28381103,-116.090099,"2022-08-05T08:46:48Z","Jackrab",c(-116.090099, 43.28381103),314,2022-08-05 02:46:48,2,217,2022-08-05
"315","Junki24",43.35447298,-116.23443,"2022-08-08T08:24:25Z","Jackrab",c(-116.23443, 43.35447298),315,2022-08-08 02:24:25,2,220,2022-08-08
"316","Junki25",43.370611,-116.234432,"2022-08-09T08:20:11Z","Jackrab",c(-116.234432, 43.370611),316,2022-08-09 02:20:11,2,221,2022-08-09
"317","Junki26",43.16621996,-116.164153,"2022-08-11T08:47:48Z","Jackrab",c(-116.164153, 43.16621996),317,2022-08-11 02:47:48,2,223,2022-08-11
"318","Junki27",43.17338901,-116.192296,"2022-08-11T08:54:51Z","Jackrab",c(-116.192296, 43.17338901),318,2022-08-11 02:54:51,2,223,2022-08-11
"319","Junki28",43.31006398,-116.145293,"2022-08-12T09:04:44Z","Jackrab",c(-116.145293, 43.31006398),319,2022-08-12 03:04:44,3,224,2022-08-12
"320","Junki3",43.16602802,-116.199207,"2022-08-03T06:32:42Z","Jackrab",c(-116.199207, 43.16602802),320,2022-08-03 00:32:42,0,215,2022-08-03
"321","Junki31",43.18223099,-116.183085,"2022-08-04T09:05:32Z","Jackrab",c(-116.183085, 43.18223099),321,2022-08-04 03:05:32,3,216,2022-08-04
"322","Junki32",43.28381103,-116.090099,"2022-08-05T08:47:00Z","Jackrab",c(-116.090099, 43.28381103),322,2022-08-05 02:47:00,2,217,2022-08-05
"323","Junki33",43.17283203,-116.192871,"2022-08-11T08:55:01Z","Jackrab",c(-116.192871, 43.17283203),323,2022-08-11 02:55:01,2,223,2022-08-11
"324","Junki4",43.21663401,-116.251962,"2022-08-03T07:28:24Z","Jackrab",c(-116.251962, 43.21663401),324,2022-08-03 01:28:24,1,215,2022-08-03
"325","Junki41",43.16471097,-116.163688,"2022-08-04T09:10:16Z","Jackrab",c(-116.163688, 43.16471097),325,2022-08-04 03:10:16,3,216,2022-08-04
"326","Junki42",43.16556199,-116.199751,"2022-08-11T08:56:49Z","Jackrab",c(-116.199751, 43.16556199),326,2022-08-11 02:56:49,2,223,2022-08-11
"327","Junki5",43.23562296,-116.199639,"2022-08-03T07:42:44Z","Jackrab",c(-116.199639, 43.23562296),327,2022-08-03 01:42:44,1,215,2022-08-03
"328","Junki51",43.15309298,-116.0033,"2022-08-04T09:29:01Z","Jackrab",c(-116.0033, 43.15309298),328,2022-08-04 03:29:01,3,216,2022-08-04
"329","Junki52",43.16511498,-116.200311,"2022-08-11T08:56:58Z","Jackrab",c(-116.200311, 43.16511498),329,2022-08-11 02:56:58,2,223,2022-08-11
"330","Junki6",43.25952002,-116.205684,"2022-08-03T07:46:39Z","Jackrab",c(-116.205684, 43.25952002),330,2022-08-03 01:46:39,1,215,2022-08-03
"331","Junki61",43.15450802,-116.001487,"2022-08-04T09:29:15Z","Jackrab",c(-116.001487, 43.15450802),331,2022-08-04 03:29:15,3,216,2022-08-04
