"","name","lat","lon","time","Rab.Obv","geometry","RabID","MST.time","Hour","DayOfYr","Date"
"39","Jai12",43.23265996,-116.198872,"2022-08-03T07:42:02Z","Jackrab",c(-116.198872, 43.23265996),39,2022-08-03 01:42:02,1,215,2022-08-03
"40","Jai121",43.151169,-116.005736,"2022-08-04T09:28:41Z","Jackrab",c(-116.005736, 43.151169),40,2022-08-04 03:28:41,3,216,2022-08-04
"41","Jai13",43.23340704,-116.199067,"2022-08-03T07:42:18Z","Jackrab",c(-116.199067, 43.23340704),41,2022-08-03 01:42:18,1,215,2022-08-03
"42","Jai131",43.15847098,-116.002535,"2022-08-04T09:30:00Z","Jackrab",c(-116.002535, 43.15847098),42,2022-08-04 03:30:00,3,216,2022-08-04
"43","Jai14",43.23616502,-116.199773,"2022-08-03T07:43:01Z","Jackrab",c(-116.199773, 43.23616502),43,2022-08-03 01:43:01,1,215,2022-08-03
"44","Jai141",43.15903902,-116.002853,"2022-08-04T09:30:10Z","Jackrab",c(-116.002853, 43.15903902),44,2022-08-04 03:30:10,3,216,2022-08-04
"45","Jai15",43.24360798,-116.201702,"2022-08-03T07:44:03Z","Jackrab",c(-116.201702, 43.24360798),45,2022-08-03 01:44:03,1,215,2022-08-03
"46","Jai151",43.180262,-115.996495,"2022-08-04T09:38:06Z","Jackrab",c(-115.996495, 43.180262),46,2022-08-04 03:38:06,3,216,2022-08-04
"47","Jai16",43.28239901,-116.18849,"2022-08-03T07:50:50Z","Jackrab",c(-116.18849, 43.28239901),47,2022-08-03 01:50:50,1,215,2022-08-03
"48","Jai17",43.29278897,-116.200874,"2022-08-03T07:53:35Z","Jackrab",c(-116.200874, 43.29278897),48,2022-08-03 01:53:35,1,215,2022-08-03
"49","Jai18",43.29427097,-116.204835,"2022-08-03T07:54:03Z","Jackrab",c(-116.204835, 43.29427097),49,2022-08-03 01:54:03,1,215,2022-08-03
"50","Jai19",43.32499702,-116.239217,"2022-08-03T08:46:59Z","Jackrab",c(-116.239217, 43.32499702),50,2022-08-03 02:46:59,2,215,2022-08-03
"51","Jai2",43.181988,-116.175649,"2022-08-03T06:24:47Z","Jackrab",c(-116.175649, 43.181988),51,2022-08-03 00:24:47,0,215,2022-08-03
"52","Jai20",43.31175101,-116.146559,"2022-08-03T09:01:13Z","Jackrab",c(-116.146559, 43.31175101),52,2022-08-03 03:01:13,3,215,2022-08-03
"53","Jai21",43.31061903,-116.145753,"2022-08-03T09:01:33Z","Jackrab",c(-116.145753, 43.31061903),53,2022-08-03 03:01:33,3,215,2022-08-03
