Survey_ID,Km_markingID,JJ,JA,Junkn,CJ,CA,Cunkn,OtherSpp_spp,OtherSpp_count,OtherSpp2_spp,OtherSpp2_count,OtherSpp3_spp,OtherSpp3_count,Comments,,,,,,,,,,,,,,,
6,8,0,2,0,0,0,0,Unkn_bird,1,0,0,0,0,"This unknown bird was large in size but could not properly identify what type of large bird it was, suspect an owl. This unknown bird observation could be taken out of the dataset. ",,,,,,,,,,,,,,,
6,9,0,2,0,0,0,0,0,0,0,0,0,0,NA,,,,,,,,,,,,,,,
7,1,0,0,0,0,0,0,Kangaroo_rat,4,0,0,0,0,NA,,,,,,,,,,,,,,,
7,2,0,0,0,0,0,0,Kangaroo_rat,1,0,0,0,0,NA,,,,,,,,,,,,,,,
7,3,0,0,0,0,0,0,0,0,0,0,0,0,NA,,,,,,,,,,,,,,,
7,4,0,0,0,0,0,0,0,0,0,0,0,0,NA,,,,,,,,,,,,,,,
7,5,1,0,0,0,0,0,0,0,0,0,0,0,NA,,,,,,,,,,,,,,,
7,6,0,0,0,0,0,0,0,0,0,0,0,0,NA,,,,,,,,,,,,,,,
7,7,0,0,0,0,0,0,Kangaroo_rat,1,Burrowing_owl,1,0,0,NA,,,,,,,,,,,,,,,
7,8,0,0,0,0,0,0,0,0,0,0,0,0,NA,,,,,,,,,,,,,,,
8,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,,,,,,,,,,,,,,,
8,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,,,,,,,,,,,,,,,
8,3,0,0,0,0,0,0,0,0,0,0,0,0,NA,,,,,,,,,,,,,,,
8,4,0,0,1,0,0,0,Kangeroo_rat,2,0,0,0,0,NA,,,,,,,,,,,,,,,
8,5,0,0,0,0,0,0,0,0,0,0,0,0,NA,,,,,,,,,,,,,,,
8,6,0,0,0,0,0,0,0,0,0,0,0,0,NA,,,,,,,,,,,,,,,
8,7,0,0,1,0,0,0,0,0,0,0,0,0,NA,,,,,,,,,,,,,,,
8,8,0,1,0,0,0,0,Kangaroo_rat,1,Redtail_hawk,1,0,0,NA,,,,,,,,,,,,,,,
8,9,0,0,0,0,0,0,Kangaroo_rat,2,0,0,0,0,NA,,,,,,,,,,,,,,,
9,1,0,0,0,0,0,0,Kangaroo_rat,1,0,0,0,0,NA,,,,,,,,,,,,,,,
9,2,0,0,0,0,0,0,Burrowing_owl,2,0,0,0,0,NA,,,,,,,,,,,,,,,
9,3,0,0,0,0,0,0,Kangaroo_rat,1,0,0,0,0,NA,,,,,,,,,,,,,,,
9,4,0,2,1,0,0,0,Kangaroo_rat,3,0,0,0,0,NA,,,,,,,,,,,,,,,
9,5,0,0,0,0,0,0,0,0,0,0,0,0,NA,,,,,,,,,,,,,,,
9,6,0,0,0,0,0,0,0,0,0,0,0,0,NA,,,,,,,,,,,,,,,
9,7,0,0,0,0,0,0,Kangaroo_rat,1,0,0,0,0,NA,,,,,,,,,,,,,,,
9,8,1,0,1,0,0,0,Kangaroo_rat,3,0,0,0,0,NA,,,,,,,,,,,,,,,
9,9,0,2,0,0,0,0,0,0,0,0,0,0,NA,,,,,,,,,,,,,,,
10,1,0,0,0,0,0,0,Kangaroo_rat,4,0,0,0,0,NA,,,,,,,,,,,,,,,
