"","RabID","Rab.Obv","name","Date","Hour","DayOfYr","MST.time","lat","lon","geometry","SurveyNight"
"44",44,"Jackrab","Jai141",2022-08-04,3,216,2022-08-04 03:30:10,43.15903902,-116.002853,c(-116.002853, 43.15903902),"3"
"45",45,"Jackrab","Jai15",2022-08-03,1,215,2022-08-03 01:44:03,43.24360798,-116.201702,c(-116.201702, 43.24360798),"2"
"46",46,"Jackrab","Jai151",2022-08-04,3,216,2022-08-04 03:38:06,43.180262,-115.996495,c(-115.996495, 43.180262),"3"
"47",47,"Jackrab","Jai16",2022-08-03,1,215,2022-08-03 01:50:50,43.28239901,-116.18849,c(-116.18849, 43.28239901),"2"
"48",48,"Jackrab","Jai17",2022-08-03,1,215,2022-08-03 01:53:35,43.29278897,-116.200874,c(-116.200874, 43.29278897),"2"
"49",49,"Jackrab","Jai18",2022-08-03,1,215,2022-08-03 01:54:03,43.29427097,-116.204835,c(-116.204835, 43.29427097),"2"
"50",50,"Jackrab","Jai19",2022-08-03,2,215,2022-08-03 02:46:59,43.32499702,-116.239217,c(-116.239217, 43.32499702),"2"
"51",51,"Jackrab","Jai2",2022-08-03,0,215,2022-08-03 00:24:47,43.181988,-116.175649,c(-116.175649, 43.181988),"2"
"52",52,"Jackrab","Jai20",2022-08-03,3,215,2022-08-03 03:01:13,43.31175101,-116.146559,c(-116.146559, 43.31175101),"2"
"53",53,"Jackrab","Jai21",2022-08-03,3,215,2022-08-03 03:01:33,43.31061903,-116.145753,c(-116.145753, 43.31061903),"2"
"54",54,"Jackrab","Jai210",2022-08-11,2,223,2022-08-11 02:49:46,43.179571,-116.169184,c(-116.169184, 43.179571),"7"
"55",55,"Jackrab","Jai22",2022-08-03,3,215,2022-08-03 03:01:52,43.30997497,-116.145215,c(-116.145215, 43.30997497),"2"
"56",56,"Jackrab","Jai23",2022-08-03,3,215,2022-08-03 03:03:11,43.30479101,-116.137931,c(-116.137931, 43.30479101),"2"
"57",57,"Jackrab","Jai24",2022-08-04,3,216,2022-08-04 03:00:07,43.16518396,-116.200206,c(-116.200206, 43.16518396),"3"
"58",58,"Jackrab","Jai25",2022-08-04,3,216,2022-08-04 03:01:07,43.16907199,-116.195984,c(-116.195984, 43.16907199),"3"
"59",59,"Jackrab","Jai26",2022-08-05,2,217,2022-08-05 02:35:18,43.28325002,-116.090099,c(-116.090099, 43.28325002),"4"
"60",60,"Jackrab","Jai27",2022-08-08,2,220,2022-08-08 02:24:50,43.35447298,-116.23443,c(-116.23443, 43.35447298),"5"
"61",61,"Jackrab","Jai28",2022-08-09,2,221,2022-08-09 02:20:41,43.370611,-116.234432,c(-116.234432, 43.370611),"6"
"62",62,"Jackrab","Jai29",2022-08-11,2,223,2022-08-11 02:24:06,43.18611299,-116.011631,c(-116.011631, 43.18611299),"7"
"63",63,"Jackrab","Jai3",2022-08-03,0,215,2022-08-03 00:27:40,43.17836098,-116.183585,c(-116.183585, 43.17836098),"2"
"64",64,"Jackrab","Jai30",2022-08-12,3,224,2022-08-12 03:05:20,43.30644401,-116.141506,c(-116.141506, 43.30644401),"8"
"65",65,"Jackrab","Jai31",2022-08-04,3,216,2022-08-04 03:01:22,43.17009601,-116.195052,c(-116.195052, 43.17009601),"3"
"66",66,"Jackrab","Jai32",2022-08-11,2,223,2022-08-11 02:56:30,43.166485,-116.19872,c(-116.19872, 43.166485),"7"
