"","RabID","Rab.Obv","name","Date","Hour","DayOfYr","MST.time","lat","lon","geometry","SurveyNight"
"189",189,"Jackrab","Jaie10",2022-08-09,3,221,2022-08-09 03:50:00,43.25778203,-116.041837,c(-116.041837, 43.25778203),"6"
"190",190,"Jackrab","Jaie11",2022-08-04,4,216,2022-08-04 04:38:22,43.21478798,-115.981101,c(-115.981101, 43.21478798),"3"
"191",191,"Jackrab","Jaie111",2022-08-09,4,221,2022-08-09 04:02:21,43.21122802,-115.998375,c(-115.998375, 43.21122802),"6"
"192",192,"Jackrab","Jaie12",2022-08-09,4,221,2022-08-09 04:02:30,43.21150303,-115.997951,c(-115.997951, 43.21150303),"6"
"193",193,"Jackrab","Jaie13",2022-08-09,4,221,2022-08-09 04:03:38,43.21455698,-115.990223,c(-115.990223, 43.21455698),"6"
"194",194,"Jackrab","Jaie14",2022-08-09,4,221,2022-08-09 04:05:55,43.21490902,-115.971254,c(-115.971254, 43.21490902),"6"
"195",195,"Jackrab","Jaie15",2022-08-09,4,221,2022-08-09 04:06:04,43.21491597,-115.97003,c(-115.97003, 43.21491597),"6"
"196",196,"Jackrab","Jaie16",2022-08-09,3,221,2022-08-09 03:32:22,43.28455299,-116.230572,c(-116.230572, 43.28455299),"6"
"197",197,"Jackrab","Jaie17",2022-08-09,3,221,2022-08-09 03:36:56,43.27951496,-116.132388,c(-116.132388, 43.27951496),"6"
"198",198,"Jackrab","Jaie18",2022-08-11,3,223,2022-08-11 03:50:53,43.21502401,-116.252984,c(-116.252984, 43.21502401),"7"
"199",199,"Jackrab","Jaie19",2022-08-11,3,223,2022-08-11 03:52:14,43.22192702,-116.247551,c(-116.247551, 43.22192702),"7"
"200",200,"Jackrab","Jaie2",2022-08-03,3,215,2022-08-03 03:55:57,43.35250097,-116.234414,c(-116.234414, 43.35250097),"2"
"201",201,"Jackrab","Jaie21",2022-08-04,4,216,2022-08-04 04:38:42,43.21485797,-115.978128,c(-115.978128, 43.21485797),"3"
"202",202,"Jackrab","Jaie22",2022-08-09,3,221,2022-08-09 03:37:07,43.27970498,-116.130718,c(-116.130718, 43.27970498),"6"
"203",203,"Jackrab","Jaie23",2022-08-11,4,223,2022-08-11 04:12:48,43.30872699,-116.213718,c(-116.213718, 43.30872699),"7"
"204",204,"Jackrab","Jaie3",2022-08-03,3,215,2022-08-03 03:56:11,43.35380302,-116.234421,c(-116.234421, 43.35380302),"2"
"205",205,"Jackrab","Jaie31",2022-08-09,3,221,2022-08-09 03:42:46,43.27962502,-116.086499,c(-116.086499, 43.27962502),"6"
"206",206,"Jackrab","Jaie32",2022-08-11,4,223,2022-08-11 04:19:43,43.35686702,-116.234349,c(-116.234349, 43.35686702),"7"
"207",207,"Jackrab","Jaie4",2022-08-03,3,215,2022-08-03 03:57:00,43.35767504,-116.234358,c(-116.234358, 43.35767504),"2"
"208",208,"Jackrab","Jaie41",2022-08-09,3,221,2022-08-09 03:42:58,43.27886101,-116.084727,c(-116.084727, 43.27886101),"6"
"209",209,"Jackrab","Jaie42",2022-08-11,4,223,2022-08-11 04:20:19,43.36019003,-116.234383,c(-116.234383, 43.36019003),"7"
"210",210,"Jackrab","Jaie5",2022-08-03,3,215,2022-08-03 03:57:33,43.36069898,-116.23442,c(-116.23442, 43.36069898),"2"
"211",211,"Jackrab","Jaie51",2022-08-09,3,221,2022-08-09 03:43:24,43.27745,-116.081799,c(-116.081799, 43.27745),"6"
"212",212,"Jackrab","Jaie52",2022-08-11,4,223,2022-08-11 04:23:44,43.38075796,-116.234428,c(-116.234428, 43.38075796),"7"
"213",213,"Jackrab","Jaie6",2022-08-03,4,215,2022-08-03 04:00:53,43.382908,-116.234461,c(-116.234461, 43.382908),"2"
"214",214,"Jackrab","Jaie61",2022-08-09,3,221,2022-08-09 03:43:45,43.27668699,-116.080805,c(-116.080805, 43.27668699),"6"
"215",215,"Jackrab","Jaie62",2022-08-11,4,223,2022-08-11 04:26:34,43.40243499,-116.234326,c(-116.234326, 43.40243499),"7"
"216",216,"Jackrab","Jaie7",2022-08-04,4,216,2022-08-04 04:38:12,43.21474699,-115.982476,c(-115.982476, 43.21474699),"3"
"217",217,"Jackrab","Jaie71",2022-08-09,3,221,2022-08-09 03:46:14,43.27432799,-116.064382,c(-116.064382, 43.27432799),"6"
"218",218,"Jackrab","Jaie8",2022-08-05,3,217,2022-08-05 03:43:41,43.28381103,-116.090099,c(-116.090099, 43.28381103),"4"
"219",219,"Jackrab","Jaie81",2022-08-09,3,221,2022-08-09 03:49:10,43.26326103,-116.046586,c(-116.046586, 43.26326103),"6"
"220",220,"Jackrab","Jaie9",2022-08-08,4,220,2022-08-08 04:05:38,43.35447298,-116.23443,c(-116.23443, 43.35447298),"5"
"221",221,"Jackrab","Jaie91",2022-08-09,3,221,2022-08-09 03:49:27,43.26114401,-116.045563,c(-116.045563, 43.26114401),"6"
"222",222,"Jackrab","Jj",2022-08-03,2,215,2022-08-03 02:22:14,43.31282297,-116.265214,c(-116.265214, 43.31282297),"2"
"223",223,"Jackrab","Jj1",2022-08-04,2,216,2022-08-04 02:46:12,43.28458501,-116.193515,c(-116.193515, 43.28458501),"3"
"224",224,"Jackrab","Jj2",2022-08-08,2,220,2022-08-08 02:21:47,43.35447298,-116.23443,c(-116.23443, 43.35447298),"5"
"225",225,"Jackrab","Jji",2022-08-03,0,215,2022-08-03 00:23:25,43.17867396,-116.16557,c(-116.16557, 43.17867396),"2"
"226",226,"Jackrab","Jji1",2022-08-03,0,215,2022-08-03 00:23:35,43.17883599,-116.16611,c(-116.16611, 43.17883599),"2"
"227",227,"Jackrab","Jji2",2022-08-03,0,215,2022-08-03 00:28:18,43.176652,-116.185423,c(-116.185423, 43.176652),"2"
"228",228,"Jackrab","Jji3",2022-08-03,0,215,2022-08-03 00:30:32,43.17236197,-116.193336,c(-116.193336, 43.17236197),"2"
"229",229,"Jackrab","Jji4",2022-08-03,0,215,2022-08-03 00:31:17,43.17072499,-116.194768,c(-116.194768, 43.17072499),"2"
"230",230,"Jackrab","Jji5",2022-08-03,1,215,2022-08-03 01:29:29,43.22127599,-116.248415,c(-116.248415, 43.22127599),"2"
"231",231,"Jackrab","Jji6",2022-08-03,1,215,2022-08-03 01:36:57,43.22840799,-116.221679,c(-116.221679, 43.22840799),"2"
"232",232,"Jackrab","Jji7",2022-08-03,1,215,2022-08-03 01:54:35,43.29539599,-116.207818,c(-116.207818, 43.29539599),"2"
"233",233,"Jackrab","Jji8",2022-08-09,2,221,2022-08-09 02:32:52,43.370611,-116.234432,c(-116.234432, 43.370611),"6"
"234",234,"Jackrab","Jjib",2022-08-02,22,214,2022-08-02 22:50:38,43.21460098,-115.986055,c(-115.986055, 43.21460098),"2"
"235",235,"Jackrab","Jjib1",2022-08-02,22,214,2022-08-02 22:51:35,43.21455899,-115.98868,c(-115.98868, 43.21455899),"2"
"236",236,"Jackrab","Jjib10",2022-08-09,1,221,2022-08-09 01:23:08,43.371547,-116.234432,c(-116.234432, 43.371547),"6"
"237",237,"Jackrab","Jjib11",2022-08-04,1,216,2022-08-04 01:30:20,43.37075198,-116.234437,c(-116.234437, 43.37075198),"3"
"238",238,"Jackrab","Jjib12",2022-08-05,1,217,2022-08-05 01:19:11,43.26944998,-116.050802,c(-116.050802, 43.26944998),"4"
"239",239,"Jackrab","Jjib13",2022-08-08,0,220,2022-08-08 00:56:40,43.38266199,-116.234495,c(-116.234495, 43.38266199),"5"
"240",240,"Jackrab","Jjib2",2022-08-02,22,214,2022-08-02 22:52:29,43.21453602,-115.991432,c(-115.991432, 43.21453602),"2"
"241",241,"Jackrab","Jjib21",2022-08-04,1,216,2022-08-04 01:30:31,43.370237,-116.234426,c(-116.234426, 43.370237),"3"
"242",242,"Jackrab","Jjib22",2022-08-08,1,220,2022-08-08 01:00:34,43.36008601,-116.23443,c(-116.23443, 43.36008601),"5"
"243",243,"Jackrab","Jjib3",2022-08-02,22,214,2022-08-02 22:53:43,43.21270399,-115.996122,c(-115.996122, 43.21270399),"2"
"244",244,"Jackrab","Jjib31",2022-08-04,1,216,2022-08-04 01:30:43,43.36949503,-116.234426,c(-116.234426, 43.36949503),"3"
"245",245,"Jackrab","Jjib32",2022-08-08,1,220,2022-08-08 01:02:36,43.36008601,-116.23443,c(-116.23443, 43.36008601),"5"
"246",246,"Jackrab","Jjib4",2022-08-04,1,216,2022-08-04 01:33:46,43.34836903,-116.234451,c(-116.234451, 43.34836903),"3"
"247",247,"Jackrab","Jjib41",2022-08-08,1,220,2022-08-08 01:22:04,43.36008601,-116.23443,c(-116.23443, 43.36008601),"5"
"248",248,"Jackrab","Jjib5",2022-08-04,1,216,2022-08-04 01:38:26,43.31986796,-116.215728,c(-116.215728, 43.31986796),"3"
"249",249,"Jackrab","Jjib51",2022-08-08,1,220,2022-08-08 01:31:59,43.35447298,-116.23443,c(-116.23443, 43.35447298),"5"
"250",250,"Jackrab","Jjib6",2022-08-04,1,216,2022-08-04 01:52:29,43.28574498,-116.193515,c(-116.193515, 43.28574498),"3"
"251",251,"Jackrab","Jjib61",2022-08-08,1,220,2022-08-08 01:32:18,43.35447298,-116.23443,c(-116.23443, 43.35447298),"5"
"252",252,"Jackrab","Jjib7",2022-08-04,1,216,2022-08-04 01:28:12,43.38343497,-116.234489,c(-116.234489, 43.38343497),"3"
"253",253,"Jackrab","Jjib71",2022-08-08,1,220,2022-08-08 01:33:36,43.35447298,-116.23443,c(-116.23443, 43.35447298),"5"
"254",254,"Jackrab","Jjib8",2022-08-05,0,217,2022-08-05 00:59:17,43.21491899,-115.972204,c(-115.972204, 43.21491899),"4"
"255",255,"Jackrab","Jjib9",2022-08-08,0,220,2022-08-08 00:56:28,43.384015,-116.234499,c(-116.234499, 43.384015),"5"
"256",256,"Jackrab","Jjie",2022-08-03,3,215,2022-08-03 03:51:52,43.33700602,-116.217043,c(-116.217043, 43.33700602),"2"
"257",257,"Jackrab","Jjie1",2022-08-03,3,215,2022-08-03 03:58:24,43.36600103,-116.234407,c(-116.234407, 43.36600103),"2"
"258",258,"Jackrab","Jjie10",2022-08-09,4,221,2022-08-09 04:05:48,43.21491002,-115.971971,c(-115.971971, 43.21491002),"6"
"259",259,"Jackrab","Jjie11",2022-08-09,3,221,2022-08-09 03:28:37,43.33787204,-116.234432,c(-116.234432, 43.33787204),"6"
"260",260,"Jackrab","Jjie12",2022-08-09,3,221,2022-08-09 03:31:31,43.29577804,-116.224138,c(-116.224138, 43.29577804),"6"
"261",261,"Jackrab","Jjie13",2022-08-11,3,223,2022-08-11 03:57:51,43.22434,-116.207476,c(-116.207476, 43.22434),"7"
"262",262,"Jackrab","Jjie14",2022-08-11,4,223,2022-08-11 04:11:46,43.30032002,-116.21206,c(-116.21206, 43.30032002),"7"
"263",263,"Jackrab","Jjie2",2022-08-05,3,217,2022-08-05 03:42:43,43.28381103,-116.090099,c(-116.090099, 43.28381103),"4"
"264",264,"Jackrab","Jjie21",2022-08-09,3,221,2022-08-09 03:37:19,43.27990003,-116.12908,c(-116.12908, 43.27990003),"6"
"265",265,"Jackrab","Jjie3",2022-08-08,4,220,2022-08-08 04:07:54,43.35447298,-116.23443,c(-116.23443, 43.35447298),"5"
"266",266,"Jackrab","Jjie31",2022-08-09,3,221,2022-08-09 03:37:30,43.28009801,-116.127469,c(-116.127469, 43.28009801),"6"
"267",267,"Jackrab","Jjie4",2022-08-09,3,221,2022-08-09 03:37:40,43.28019801,-116.126624,c(-116.126624, 43.28019801),"6"
"268",268,"Jackrab","Jjie5",2022-08-09,3,221,2022-08-09 03:39:10,43.28101901,-116.119271,c(-116.119271, 43.28101901),"6"
"269",269,"Jackrab","Jjie6",2022-08-09,3,221,2022-08-09 03:50:09,43.25707301,-116.040689,c(-116.040689, 43.25707301),"6"
"270",270,"Jackrab","Jjie7",2022-08-09,4,221,2022-08-09 04:03:03,43.21374603,-115.994461,c(-115.994461, 43.21374603),"6"
"271",271,"Jackrab","Jjie8",2022-08-09,4,221,2022-08-09 04:04:46,43.21478999,-115.980493,c(-115.980493, 43.21478999),"6"
"272",272,"Jackrab","Jjie9",2022-08-09,4,221,2022-08-09 04:05:40,43.21486501,-115.972666,c(-115.972666, 43.21486501),"6"
"273",273,"Jackrab","Junk",2022-08-02,23,214,2022-08-02 23:39:49,43.17142999,-115.972874,c(-115.972874, 43.17142999),"2"
"274",274,"Jackrab","Junk1",2022-08-02,23,214,2022-08-02 23:45:41,43.16465104,-115.982935,c(-115.982935, 43.16465104),"2"
"275",275,"Jackrab","Junk10",2022-08-08,2,220,2022-08-08 02:11:01,43.35447298,-116.23443,c(-116.23443, 43.35447298),"5"
"276",276,"Jackrab","Junk11",2022-08-03,1,215,2022-08-03 01:14:26,43.20660498,-116.274241,c(-116.274241, 43.20660498),"2"
"277",277,"Jackrab","Junk12",2022-08-04,2,216,2022-08-04 02:39:47,43.28458501,-116.193515,c(-116.193515, 43.28458501),"3"
"278",278,"Jackrab","Junk13",2022-08-09,2,221,2022-08-09 02:12:08,43.370611,-116.234432,c(-116.234432, 43.370611),"6"
"279",279,"Jackrab","Junk14",2022-08-11,3,223,2022-08-11 03:02:26,43.16074197,-116.210605,c(-116.210605, 43.16074197),"7"
"280",280,"Jackrab","Junk15",2022-08-11,3,223,2022-08-11 03:09:49,43.16916503,-116.232585,c(-116.232585, 43.16916503),"7"
"281",281,"Jackrab","Junk16",2022-08-12,3,224,2022-08-12 03:35:11,43.34571398,-116.146148,c(-116.146148, 43.34571398),"8"
"282",282,"Jackrab","Junk2",2022-08-03,3,215,2022-08-03 03:15:28,43.32527999,-116.131326,c(-116.131326, 43.32527999),"2"
"283",283,"Jackrab","Junk21",2022-08-04,2,216,2022-08-04 02:40:08,43.28458501,-116.193515,c(-116.193515, 43.28458501),"3"
"284",284,"Jackrab","Junk22",2022-08-11,3,223,2022-08-11 03:19:38,43.18120002,-116.261856,c(-116.261856, 43.18120002),"7"
"285",285,"Jackrab","Junk3",2022-08-03,3,215,2022-08-03 03:32:43,43.34541902,-116.146776,c(-116.146776, 43.34541902),"2"
"286",286,"Jackrab","Junk31",2022-08-04,2,216,2022-08-04 02:45:12,43.28458501,-116.193515,c(-116.193515, 43.28458501),"3"
"287",287,"Jackrab","Junk4",2022-08-03,0,215,2022-08-03 00:55:52,43.17697403,-116.253214,c(-116.253214, 43.17697403),"2"
"288",288,"Jackrab","Junk41",2022-08-04,2,216,2022-08-04 02:50:44,43.28458501,-116.193515,c(-116.193515, 43.28458501),"3"
"289",289,"Jackrab","Junk5",2022-08-04,2,216,2022-08-04 02:51:08,43.28458501,-116.193515,c(-116.193515, 43.28458501),"3"
"290",290,"Jackrab","Junk6",2022-08-04,4,216,2022-08-04 04:18:06,43.20366201,-115.991666,c(-115.991666, 43.20366201),"3"
"291",291,"Jackrab","Junk7",2022-08-04,4,216,2022-08-04 04:18:24,43.20325297,-115.992159,c(-115.992159, 43.20325297),"3"
"292",292,"Jackrab","Junk8",2022-08-04,2,216,2022-08-04 02:29:21,43.28552102,-116.193515,c(-116.193515, 43.28552102),"3"
"293",293,"Jackrab","Junk9",2022-08-05,2,217,2022-08-05 02:55:46,43.28381103,-116.090099,c(-116.090099, 43.28381103),"4"
"294",294,"Jackrab","Junki",2022-08-01,22,213,2022-08-01 22:03:33,43.336988,-116.217208,c(-116.217208, 43.336988),"1"
"295",295,"Jackrab","Junki1",2022-08-02,23,214,2022-08-02 23:59:47,43.16083602,-116.003756,c(-116.003756, 43.16083602),"2"
"296",296,"Jackrab","Junki10",2022-08-03,1,215,2022-08-03 01:53:18,43.29177802,-116.199359,c(-116.199359, 43.29177802),"2"
"297",297,"Jackrab","Junki101",2022-08-04,3,216,2022-08-04 03:37:26,43.18224499,-116.001274,c(-116.001274, 43.18224499),"3"
"298",298,"Jackrab","Junki11",2022-08-03,1,215,2022-08-03 01:54:20,43.29477204,-116.20642,c(-116.20642, 43.29477204),"2"
"299",299,"Jackrab","Junki110",2022-08-05,2,217,2022-08-05 02:45:16,43.28381103,-116.090099,c(-116.090099, 43.28381103),"4"
"300",300,"Jackrab","Junki111",2022-08-04,3,216,2022-08-04 03:37:52,43.18086701,-115.997992,c(-115.997992, 43.18086701),"3"
"301",301,"Jackrab","Junki112",2022-08-11,2,223,2022-08-11 02:54:39,43.17391899,-116.191425,c(-116.191425, 43.17391899),"7"
"302",302,"Jackrab","Junki12",2022-08-03,1,215,2022-08-03 01:56:55,43.29803302,-116.212397,c(-116.212397, 43.29803302),"2"
"303",303,"Jackrab","Junki13",2022-08-03,2,215,2022-08-03 02:52:40,43.33701499,-116.217726,c(-116.217726, 43.33701499),"2"
"304",304,"Jackrab","Junki14",2022-08-03,2,215,2022-08-03 02:52:58,43.33692203,-116.215677,c(-116.215677, 43.33692203),"2"
"305",305,"Jackrab","Junki15",2022-08-03,3,215,2022-08-03 03:00:54,43.31347701,-116.147995,c(-116.147995, 43.31347701),"2"
"306",306,"Jackrab","Junki16",2022-08-03,0,215,2022-08-03 00:21:25,43.16609197,-116.164091,c(-116.164091, 43.16609197),"2"
"307",307,"Jackrab","Junki17",2022-08-03,0,215,2022-08-03 00:27:07,43.17977702,-116.183484,c(-116.183484, 43.17977702),"2"
"308",308,"Jackrab","Junki18",2022-08-04,2,216,2022-08-04 02:52:45,43.28458501,-116.193515,c(-116.193515, 43.28458501),"3"
"309",309,"Jackrab","Junki19",2022-08-04,3,216,2022-08-04 03:05:03,43.17952397,-116.183463,c(-116.183463, 43.17952397),"3"
"310",310,"Jackrab","Junki2",2022-08-02,23,214,2022-08-02 23:58:16,43.16782401,-116.007925,c(-116.007925, 43.16782401),"2"
"311",311,"Jackrab","Junki20",2022-08-05,2,217,2022-08-05 02:27:35,43.28325002,-116.090099,c(-116.090099, 43.28325002),"4"
"312",312,"Jackrab","Junki21",2022-08-03,0,215,2022-08-03 00:29:45,43.17441897,-116.189998,c(-116.189998, 43.17441897),"2"
"313",313,"Jackrab","Junki22",2022-08-04,3,216,2022-08-04 03:05:21,43.18118996,-116.183439,c(-116.183439, 43.18118996),"3"
"314",314,"Jackrab","Junki23",2022-08-05,2,217,2022-08-05 02:46:48,43.28381103,-116.090099,c(-116.090099, 43.28381103),"4"
"315",315,"Jackrab","Junki24",2022-08-08,2,220,2022-08-08 02:24:25,43.35447298,-116.23443,c(-116.23443, 43.35447298),"5"
"316",316,"Jackrab","Junki25",2022-08-09,2,221,2022-08-09 02:20:11,43.370611,-116.234432,c(-116.234432, 43.370611),"6"
"317",317,"Jackrab","Junki26",2022-08-11,2,223,2022-08-11 02:47:48,43.16621996,-116.164153,c(-116.164153, 43.16621996),"7"
"318",318,"Jackrab","Junki27",2022-08-11,2,223,2022-08-11 02:54:51,43.17338901,-116.192296,c(-116.192296, 43.17338901),"7"
"319",319,"Jackrab","Junki28",2022-08-12,3,224,2022-08-12 03:04:44,43.31006398,-116.145293,c(-116.145293, 43.31006398),"8"
"320",320,"Jackrab","Junki3",2022-08-03,0,215,2022-08-03 00:32:42,43.16602802,-116.199207,c(-116.199207, 43.16602802),"2"
"321",321,"Jackrab","Junki31",2022-08-04,3,216,2022-08-04 03:05:32,43.18223099,-116.183085,c(-116.183085, 43.18223099),"3"
"322",322,"Jackrab","Junki32",2022-08-05,2,217,2022-08-05 02:47:00,43.28381103,-116.090099,c(-116.090099, 43.28381103),"4"
"323",323,"Jackrab","Junki33",2022-08-11,2,223,2022-08-11 02:55:01,43.17283203,-116.192871,c(-116.192871, 43.17283203),"7"
"324",324,"Jackrab","Junki4",2022-08-03,1,215,2022-08-03 01:28:24,43.21663401,-116.251962,c(-116.251962, 43.21663401),"2"
"325",325,"Jackrab","Junki41",2022-08-04,3,216,2022-08-04 03:10:16,43.16471097,-116.163688,c(-116.163688, 43.16471097),"3"
"326",326,"Jackrab","Junki42",2022-08-11,2,223,2022-08-11 02:56:49,43.16556199,-116.199751,c(-116.199751, 43.16556199),"7"
"327",327,"Jackrab","Junki5",2022-08-03,1,215,2022-08-03 01:42:44,43.23562296,-116.199639,c(-116.199639, 43.23562296),"2"
"328",328,"Jackrab","Junki51",2022-08-04,3,216,2022-08-04 03:29:01,43.15309298,-116.0033,c(-116.0033, 43.15309298),"3"
"329",329,"Jackrab","Junki52",2022-08-11,2,223,2022-08-11 02:56:58,43.16511498,-116.200311,c(-116.200311, 43.16511498),"7"
"330",330,"Jackrab","Junki6",2022-08-03,1,215,2022-08-03 01:46:39,43.25952002,-116.205684,c(-116.205684, 43.25952002),"2"
"331",331,"Jackrab","Junki61",2022-08-04,3,216,2022-08-04 03:29:15,43.15450802,-116.001487,c(-116.001487, 43.15450802),"3"
"332",332,"Jackrab","Junki62",2022-08-11,2,223,2022-08-11 02:58:30,43.15836797,-116.206657,c(-116.206657, 43.15836797),"7"
"333",333,"Jackrab","Junki7",2022-08-03,1,215,2022-08-03 01:46:57,43.26168397,-116.206305,c(-116.206305, 43.26168397),"2"
"334",334,"Jackrab","Junki71",2022-08-04,3,216,2022-08-04 03:30:41,43.161826,-116.004263,c(-116.004263, 43.161826),"3"
"335",335,"Jackrab","Junki8",2022-08-03,1,215,2022-08-03 01:48:54,43.27503098,-116.201126,c(-116.201126, 43.27503098),"2"
"336",336,"Jackrab","Junki81",2022-08-04,3,216,2022-08-04 03:31:49,43.16547297,-116.006374,c(-116.006374, 43.16547297),"3"
"337",337,"Jackrab","Junki9",2022-08-03,1,215,2022-08-03 01:50:16,43.27902102,-116.190517,c(-116.190517, 43.27902102),"2"
"338",338,"Jackrab","Junki91",2022-08-04,3,216,2022-08-04 03:32:08,43.16690099,-116.007434,c(-116.007434, 43.16690099),"3"
"339",339,"Jackrab","Junkib",2022-08-02,22,214,2022-08-02 22:50:57,43.21460098,-115.987007,c(-115.987007, 43.21460098),"2"
"340",340,"Jackrab","Junkib1",2022-08-02,22,214,2022-08-02 22:51:44,43.21454499,-115.989249,c(-115.989249, 43.21454499),"2"
"341",341,"Jackrab","Junkib10",2022-08-04,2,216,2022-08-04 02:02:55,43.28552102,-116.193515,c(-116.193515, 43.28552102),"3"
"342",342,"Jackrab","Junkib101",2022-08-05,1,217,2022-08-05 01:20:20,43.27235003,-116.05716,c(-116.05716, 43.27235003),"4"
"343",343,"Jackrab","Junkib102",2022-08-08,1,220,2022-08-08 01:04:13,43.36008601,-116.23443,c(-116.23443, 43.36008601),"5"
"344",344,"Jackrab","Junkib11",2022-08-04,2,216,2022-08-04 02:03:07,43.219235,-116.250373,c(-116.250373, 43.219235),"3"
"345",345,"Jackrab","Junkib110",2022-08-05,1,217,2022-08-05 01:00:22,43.214863,-115.977499,c(-115.977499, 43.214863),"4"
"346",346,"Jackrab","Junkib111",2022-08-05,1,217,2022-08-05 01:21:25,43.27444199,-116.064133,c(-116.064133, 43.27444199),"4"
"347",347,"Jackrab","Junkib112",2022-08-08,0,220,2022-08-08 00:55:06,43.39468399,-116.234421,c(-116.234421, 43.39468399),"5"
"348",348,"Jackrab","Junkib113",2022-08-08,1,220,2022-08-08 01:07:26,43.36008601,-116.23443,c(-116.23443, 43.36008601),"5"
"349",349,"Jackrab","Junkib114",2022-08-09,1,221,2022-08-09 01:17:35,43.40363896,-116.234373,c(-116.234373, 43.40363896),"6"
"350",350,"Jackrab","Junkib115",2022-08-11,1,223,2022-08-11 01:20:03,43.21480701,-115.980381,c(-115.980381, 43.21480701),"7"
"351",351,"Jackrab","Junkib116",2022-08-12,1,224,2022-08-12 01:49:23,43.26686801,-116.047624,c(-116.047624, 43.26686801),"8"
"352",352,"Jackrab","Junkib12",2022-08-04,2,216,2022-08-04 02:04:00,43.28552102,-116.193515,c(-116.193515, 43.28552102),"3"
"353",353,"Jackrab","Junkib121",2022-08-05,1,217,2022-08-05 01:21:37,43.27405298,-116.065434,c(-116.065434, 43.27405298),"4"
"354",354,"Jackrab","Junkib122",2022-08-08,1,220,2022-08-08 01:08:06,43.36008601,-116.23443,c(-116.23443, 43.36008601),"5"
"355",355,"Jackrab","Junkib13",2022-08-04,1,216,2022-08-04 01:25:54,43.40252602,-116.234357,c(-116.234357, 43.40252602),"3"
"356",356,"Jackrab","Junkib131",2022-08-05,1,217,2022-08-05 01:21:48,43.27359801,-116.066631,c(-116.066631, 43.27359801),"4"
"357",357,"Jackrab","Junkib132",2022-08-08,1,220,2022-08-08 01:09:03,43.36008601,-116.23443,c(-116.23443, 43.36008601),"5"
"358",358,"Jackrab","Junkib14",2022-08-04,1,216,2022-08-04 01:26:45,43.39548304,-116.234414,c(-116.234414, 43.39548304),"3"
"359",359,"Jackrab","Junkib141",2022-08-05,1,217,2022-08-05 01:22:40,43.27372299,-116.072883,c(-116.072883, 43.27372299),"4"
"360",360,"Jackrab","Junkib142",2022-08-08,1,220,2022-08-08 01:12:47,43.36008601,-116.23443,c(-116.23443, 43.36008601),"5"
"361",361,"Jackrab","Junkib15",2022-08-05,1,217,2022-08-05 01:24:48,43.28110199,-116.089201,c(-116.089201, 43.28110199),"4"
"362",362,"Jackrab","Junkib151",2022-08-08,1,220,2022-08-08 01:12:59,43.36008601,-116.23443,c(-116.23443, 43.36008601),"5"
"363",363,"Jackrab","Junkib16",2022-08-05,1,217,2022-08-05 01:28:37,43.28325002,-116.09164,c(-116.09164, 43.28325002),"4"
"364",364,"Jackrab","Junkib161",2022-08-08,1,220,2022-08-08 01:13:10,43.36008601,-116.23443,c(-116.23443, 43.36008601),"5"
"365",365,"Jackrab","Junkib17",2022-08-05,1,217,2022-08-05 01:29:59,43.28325002,-116.09164,c(-116.09164, 43.28325002),"4"
"366",366,"Jackrab","Junkib171",2022-08-08,1,220,2022-08-08 01:15:30,43.36008601,-116.23443,c(-116.23443, 43.36008601),"5"
"367",367,"Jackrab","Junkib18",2022-08-05,1,217,2022-08-05 01:32:29,43.28325002,-116.09164,c(-116.09164, 43.28325002),"4"
"368",368,"Jackrab","Junkib181",2022-08-08,1,220,2022-08-08 01:16:23,43.36008601,-116.23443,c(-116.23443, 43.36008601),"5"
"369",369,"Jackrab","Junkib19",2022-08-05,1,217,2022-08-05 01:33:55,43.28325002,-116.09164,c(-116.09164, 43.28325002),"4"
"370",370,"Jackrab","Junkib191",2022-08-08,1,220,2022-08-08 01:16:47,43.36008601,-116.23443,c(-116.23443, 43.36008601),"5"
"371",371,"Jackrab","Junkib20",2022-08-05,1,217,2022-08-05 01:00:03,43.21486099,-115.976478,c(-115.976478, 43.21486099),"4"
"372",372,"Jackrab","Junkib201",2022-08-08,1,220,2022-08-08 01:19:05,43.36008601,-116.23443,c(-116.23443, 43.36008601),"5"
"373",373,"Jackrab","Junkib21",2022-08-04,1,216,2022-08-04 01:29:31,43.37354399,-116.234438,c(-116.234438, 43.37354399),"3"
"374",374,"Jackrab","Junkib210",2022-08-11,1,223,2022-08-11 01:20:42,43.21463199,-115.985598,c(-115.985598, 43.21463199),"7"
"375",375,"Jackrab","Junkib211",2022-08-08,1,220,2022-08-08 01:22:28,43.36008601,-116.23443,c(-116.23443, 43.36008601),"5"
"376",376,"Jackrab","Junkib212",2022-08-12,1,224,2022-08-12 01:58:23,43.28004504,-116.128054,c(-116.128054, 43.28004504),"8"
"377",377,"Jackrab","Junkib22",2022-08-05,1,217,2022-08-05 01:02:21,43.214547,-115.990258,c(-115.990258, 43.214547),"4"
"378",378,"Jackrab","Junkib221",2022-08-08,1,220,2022-08-08 01:27:08,43.35447298,-116.23443,c(-116.23443, 43.35447298),"5"
"379",379,"Jackrab","Junkib23",2022-08-08,1,220,2022-08-08 01:32:40,43.35447298,-116.23443,c(-116.23443, 43.35447298),"5"
"380",380,"Jackrab","Junkib24",2022-08-08,1,220,2022-08-08 01:32:52,43.35447298,-116.23443,c(-116.23443, 43.35447298),"5"
