ID	lat	lon	ele	time	magvar	geoidheight	name	cmt	desc	src	sym	type	fix	sat	hdop	vdop	pdop	ageofdgpsdata	dgpsid	Proximity	Temperature	Depth	DisplayMode	Samples	Expiration	CreationTime
458	43.371992	-116.234409	889.840088	2022-08-05T08:01:55Z			Junkie101				"Flag, Blue"	user											SymbolAndName			2022-08-05T08:01:55Z
459	43.27338201	-116.071115	967.303467	2022-08-04T07:15:41Z			Junkie11				"Flag, Blue"	user											SymbolAndName			2022-08-04T07:15:41Z
460	43.22190396	-116.247593	961.145203	2022-08-05T07:24:20Z			Junkie110				"Flag, Blue"	user											SymbolAndName			2022-08-05T07:24:20Z
461	43.38173797	-116.23446	887.423462	2022-08-05T08:03:13Z			Junkie111				"Flag, Blue"	user											SymbolAndName			2022-08-05T08:03:13Z
462	43.35438799	-116.23443	910.171631	2022-08-08T07:30:10Z			Junkie112				"Flag, Blue"	user											SymbolAndName			2022-08-08T07:30:10Z
463	43.27321798	-116.070053	967.732727	2022-08-04T07:15:52Z			Junkie12				"Flag, Blue"	user											SymbolAndName			2022-08-04T07:15:52Z
464	43.38459201	-116.234457	883.9151	2022-08-05T08:03:40Z			Junkie121				"Flag, Blue"	user											SymbolAndName			2022-08-05T08:03:40Z
465	43.27331697	-116.067264	963.020691	2022-08-04T07:16:31Z			Junkie13				"Flag, Blue"	user											SymbolAndName			2022-08-04T07:16:31Z
466	43.27436998	-116.064335	965.204102	2022-08-04T07:17:09Z			Junkie14				"Flag, Blue"	user											SymbolAndName			2022-08-04T07:17:09Z
467	43.27344404	-116.059728	959.297729	2022-08-04T07:17:46Z			Junkie15				"Flag, Blue"	user											SymbolAndName			2022-08-04T07:17:46Z
468	43.25801396	-116.042149	941.616089	2022-08-04T07:21:34Z			Junkie16				"Flag, Blue"	user											SymbolAndName			2022-08-04T07:21:34Z
469	43.25732798	-116.041045	942.045288	2022-08-04T07:21:46Z			Junkie17				"Flag, Blue"	user											SymbolAndName			2022-08-04T07:21:46Z
470	43.21478899	-115.979962	922.936035	2022-08-04T07:37:03Z			Junkie18				"Flag, Blue"	user											SymbolAndName			2022-08-04T07:37:03Z
471	43.21489803	-115.971145	923.33728	2022-08-04T07:38:24Z			Junkie19				"Flag, Blue"	user											SymbolAndName			2022-08-04T07:38:24Z
472	43.278313	-116.174977	994.819702	2022-08-04T07:03:03Z			Junkie2				"Flag, Blue"	user											SymbolAndName			2022-08-04T07:03:03Z
473	43.28185997	-116.185898	979.386719	2022-08-04T07:01:44Z			Junkie20				"Flag, Blue"	user											SymbolAndName			2022-08-04T07:01:44Z
474	43.22111296	-116.248579	962.264893	2022-08-05T07:23:57Z			Junkie21				"Flag, Blue"	user											SymbolAndName			2022-08-05T07:23:57Z
475	43.30744699	-116.213611	973.937622	2022-08-05T07:47:00Z			Junkie22				"Flag, Blue"	user											SymbolAndName			2022-08-05T07:47:00Z
