ID	lat	lon	ele	time	magvar	geoidheight	name	cmt	desc	src	sym	type	fix	sat	hdop	vdop	pdop	ageofdgpsdata	dgpsid	Proximity	Temperature	Depth	DisplayMode	Samples	Expiration	CreationTime
1	43.12914404	-116.107838	903.920105	2022-08-03T06:11:56Z			Cai				"Flag, Blue"	user											SymbolAndName			2022-08-03T06:11:56Z
2	43.278702	-116.13914	999.979553	2022-08-09T09:36:16Z			Cjie				"Flag, Blue"	user											SymbolAndName			2022-08-09T09:36:16Z
3	43.16330499	-115.982148	929.057007	2022-08-04T09:47:40Z			Cunk				"Flag, Blue"	user											SymbolAndName			2022-08-04T09:47:40Z
4	43.13168602	-116.130706	905.702271	2022-08-03T06:14:34Z			Cunki				"Flag, Blue"	user											SymbolAndName			2022-08-03T06:14:34Z
5	43.35447298	-116.23443	906.621094	2022-08-08T08:46:24Z			Cunki1				"Flag, Blue"	user											SymbolAndName			2022-08-08T08:46:24Z
6	43.27170496	-116.055639	968.647095	2022-08-05T07:19:57Z			Cunkib				"Flag, Blue"	user											SymbolAndName			2022-08-05T07:19:57Z
7	43.33787204	-116.234432	934.300781	2022-08-09T09:29:58Z			Cunkie				"Flag, Blue"	user											SymbolAndName			2022-08-09T09:29:58Z
8	43.27833898	-116.142222	998.831909	2022-08-09T09:35:53Z			Cunkie1				"Flag, Blue"	user											SymbolAndName			2022-08-09T09:35:53Z
9	43.28037403	-116.125111	985.778259	2022-08-09T09:38:22Z			Cunkie2				"Flag, Blue"	user											SymbolAndName			2022-08-09T09:38:22Z
10	43.28082799	-116.120918	987.21521	2022-08-09T09:39:00Z			Cunkie3				"Flag, Blue"	user											SymbolAndName			2022-08-09T09:39:00Z
11	43.28154297	-116.114731	986.263428	2022-08-09T09:39:38Z			Cunkie4				"Flag, Blue"	user											SymbolAndName			2022-08-09T09:39:38Z
12	43.28269397	-116.103966	977.753845	2022-08-09T09:40:42Z			Cunkie5				"Flag, Blue"	user											SymbolAndName			2022-08-09T09:40:42Z
13	43.28046598	-116.088141	966.137146	2022-08-09T09:42:35Z			Cunkie6				"Flag, Blue"	user											SymbolAndName			2022-08-09T09:42:35Z
14	43.27348603	-116.075456	972.743286	2022-08-09T09:45:08Z			Cunkie7				"Flag, Blue"	user											SymbolAndName			2022-08-09T09:45:08Z
15	43.27367404	-116.073606	969.673462	2022-08-09T09:45:19Z			Cunkie8				"Flag, Blue"	user											SymbolAndName			2022-08-09T09:45:19Z
16	43.20706598	-115.985356	931.259033	2022-08-03T05:15:26Z			Ja				"Flag, Blue"	user											SymbolAndName			2022-08-03T05:15:26Z
17	43.344956	-116.130026	941.438782	2022-08-02T04:41:42Z			Ja06				"Flag, Blue"	user											SymbolAndName			2022-08-02T04:41:42Z
18	43.207659	-115.984153	931.072388	2022-08-03T05:15:57Z			Ja1				"Flag, Blue"	user											SymbolAndName			2022-08-03T05:15:57Z
19	43.28552102	-116.193515	992.449219	2022-08-04T08:19:07Z			Ja10				"Flag, Blue"	user											SymbolAndName			2022-08-04T08:19:07Z
20	43.16068598	-116.209716	927.834656	2022-08-03T06:40:19Z			Ja11				"Flag, Blue"	user											SymbolAndName			2022-08-03T06:40:19Z
21	43.28458501	-116.193515	993.101562	2022-08-04T08:52:01Z			Ja12				"Flag, Blue"	user											SymbolAndName			2022-08-04T08:52:01Z
22	43.28381103	-116.090099	977.835938	2022-08-05T08:54:45Z			Ja13				"Flag, Blue"	user											SymbolAndName			2022-08-05T08:54:45Z
23	43.35447298	-116.23443	906.621094	2022-08-08T07:50:52Z			Ja14				"Flag, Blue"	user											SymbolAndName			2022-08-08T07:50:52Z
24	43.370611	-116.234432	891.515625	2022-08-09T07:44:17Z			Ja15				"Flag, Blue"	user											SymbolAndName			2022-08-09T07:44:17Z
25	43.196671	-116.011912	939.395386	2022-08-11T07:31:36Z			Ja16				"Flag, Blue"	user											SymbolAndName			2022-08-11T07:31:36Z
26	43.16177798	-116.213483	936.456238	2022-08-11T09:03:21Z			Ja17				"Flag, Blue"	user											SymbolAndName			2022-08-11T09:03:21Z
27	43.31074803	-116.237528	962.367554	2022-08-12T08:42:17Z			Ja18				"Flag, Blue"	user											SymbolAndName			2022-08-12T08:42:17Z
28	43.33976702	-116.127244	957.720886	2022-08-12T09:26:03Z			Ja19				"Flag, Blue"	user											SymbolAndName			2022-08-12T09:26:03Z
29	43.164889	-116.220398	933.283752	2022-08-03T06:44:14Z			Ja2				"Flag, Blue"	user											SymbolAndName			2022-08-03T06:44:14Z
30	43.19610103	-116.007213	929.822083	2022-08-04T10:25:22Z			Ja21				"Flag, Blue"	user											SymbolAndName			2022-08-04T10:25:22Z
31	43.164026	-116.218397	941.34552	2022-08-11T09:05:07Z			Ja22				"Flag, Blue"	user											SymbolAndName			2022-08-11T09:05:07Z
32	43.34306697	-116.165036	946.524048	2022-08-12T09:41:44Z			Ja23				"Flag, Blue"	user											SymbolAndName			2022-08-12T09:41:44Z
